INFO:arc_agi.scorecard:Initialized ScorecardManager with idle_for=0:15:00 and max_open_for=3 days, 0:00:00
2026-08-18 10:13:06 | INFO | Created new scorecard: 55af9c8f-e58e-43cc-9eab-2b0f72eda23a
2026-08-18 10:13:06 | INFO | Found latest version of sc25: sc25-635fd71a (downloaded: 2026-08-07 09:21:02.685063+00:00)
2026-08-18 10:13:06 | INFO | Successfully loaded game class Sc25 from environment_files/sc25/635fd71a/sc25.py
L3 画布初始色 [[2, 0, 2], [2, 0, 2], [2, 0, 2]] (每格在 初始色 <-> 14 之间切换)
  扩展 500 | 见过 2282 | 队列 1782 | 最深 3 | 19s
  扩展 38000 | 见过 46944 | 队列 8944 | 最深 8 | 1365s
  扩展 38500 | 见过 47520 | 队列 9020 | 最深 9 | 1384s
  扩展 39000 | 见过 47962 | 队列 8962 | 最深 9 | 1402s
  扩展 39500 | 见过 48307 | 队列 8807 | 最深 9 | 1420s
  扩展 40000 | 见过 48697 | 队列 8697 | 最深 9 | 1438s
  扩展 40500 | 见过 48970 | 队列 8470 | 最深 9 | 1456s
  扩展 41000 | 见过 49231 | 队列 8231 | 最深 9 | 1473s
  扩展 41500 | 见过 49620 | 队列 8120 | 最深 9 | 1492s
  扩展 42000 | 见过 49905 | 队列 7905 | 最深 9 | 1510s
  扩展 42500 | 见过 50124 | 队列 7624 | 最深 9 | 1528s
  扩展 43000 | 见过 50385 | 队列 7385 | 最深 9 | 1546s
  扩展 43500 | 见过 50606 | 队列 7106 | 最深 9 | 1564s
  扩展 44000 | 见过 50988 | 队列 6988 | 最深 9 | 1582s
  扩展 44500 | 见过 51257 | 队列 6757 | 最深 9 | 1601s
  扩展 45000 | 见过 51498 | 队列 6498 | 最深 9 | 1619s
  扩展 45500 | 见过 51683 | 队列 6183 | 最深 9 | 1637s
  扩展 46000 | 见过 51913 | 队列 5913 | 最深 9 | 1655s
  扩展 46500 | 见过 52071 | 队列 5571 | 最深 9 | 1673s
  扩展 47000 | 见过 52267 | 队列 5267 | 最深 10 | 1691s
  扩展 47500 | 见过 52652 | 队列 5152 | 最深 10 | 1709s
  扩展 48000 | 见过 52917 | 队列 4917 | 最深 10 | 1727s
  扩展 48500 | 见过 53160 | 队列 4660 | 最深 10 | 1745s
  扩展 49000 | 见过 53350 | 队列 4350 | 最深 10 | 1763s
  扩展 49500 | 见过 53582 | 队列 4082 | 最深 10 | 1782s
  扩展 50000 | 见过 53747 | 队列 3747 | 最深 10 | 1800s
  扩展 50500 | 见过 53879 | 队列 3379 | 最深 10 | 1818s
  扩展 51000 | 见过 54125 | 队列 3125 | 最深 10 | 1836s
  扩展 51500 | 见过 54273 | 队列 2773 | 最深 10 | 1854s
  扩展 52000 | 见过 54382 | 队列 2382 | 最深 10 | 1872s
  扩展 52500 | 见过 54604 | 队列 2104 | 最深 11 | 1890s
  扩展 53000 | 见过 54762 | 队列 1762 | 最深 11 | 1908s
  扩展 53500 | 见过 54900 | 队列 1400 | 最深 11 | 1926s
  扩展 54000 | 见过 55009 | 队列 1009 | 最深 11 | 1944s
  扩展 54500 | 见过 55108 | 队列 608 | 最深 12 | 1962s
  扩展 55000 | 见过 55178 | 队列 178 | 最深 12 | 1979s

🚨**队列穷尽**: 扩展 55188, 见过 55188 个语义状态, 最深 14, 1986s
=> 硬结论: 过关条件**不在 (画布 x 方块位置) 这个空间里**, 必有第三个维度。
